                    x0           x1           x2           x3     
    1.59000n    -17.9725u    699.9818m    -17.9725u    699.9818m
    1.60000n    -17.4931u    699.9822m    -17.4931u    699.9822m
    1.61000n    -14.3107u    699.9854m    -14.3107u    699.9854m
    1.62000n    -11.1283u    699.9886m    -11.1283u    699.9886m
    1.63000n     -7.9460u    699.9917m     -7.9460u    699.9917m
    1.64000n     -4.7636u    699.9949m     -4.7636u    699.9949m
    1.65000n     -1.5812u    699.9981m     -1.5812u    699.9981m
    1.66000n      1.6012u    700.0012m      1.6012u    700.0012m
    1.67000n      4.7836u    700.0044m      4.7836u    700.0044m
    1.68000n      7.9660u    700.0076m      7.9660u    700.0076m
    1.69000n     11.1484u    700.0107m     11.1484u    700.0107m
    1.70000n     14.3308u    700.0139m     14.3308u    700.0139m
    1.71000n     17.5132u    700.0171m     17.5132u    700.0171m
    1.72000n     -1.1600u    699.9986m     -1.1600u    699.9986m
    1.73000n    763.2580n    700.0003m    763.2580n    700.0003m
    1.74000n      0.         699.9998m      0.         699.9998m
    1.75000n      0.         699.9998m      0.         699.9998m
    1.76000n      0.         699.9998m      0.         699.9998m
    1.77000n      0.         699.9998m      0.         699.9998m
    1.78000n      0.         699.9998m      0.         699.9998m
    1.79000n      0.         699.9998m      0.         699.9998m
    1.80000n      0.         699.9998m      0.         699.9998m
    1.81000n      0.         699.9998m      0.         699.9998m
    1.82000n      0.         699.9998m      0.         699.9998m
    1.83000n      0.         699.9998m      0.         699.9998m
    1.84000n      0.         699.9998m      0.         699.9998m
    1.85000n      0.         699.9998m      0.         699.9998m
    1.86000n      0.         699.9998m      0.         699.9998m
    1.87000n      0.         699.9998m      0.         699.9998m
    1.88000n      0.         699.9998m      0.         699.9998m
    1.89000n      0.         699.9998m      0.         699.9998m
    1.90000n      0.         699.9998m      0.         699.9998m
    1.91000n      0.         699.9998m      0.         699.9998m
    1.92000n      0.         699.9998m      0.         699.9998m
    1.93000n      0.         699.9998m      0.         699.9998m
    1.94000n      0.         699.9998m      0.         699.9998m
    1.95000n      0.         699.9998m      0.         699.9998m
    1.96000n      0.         699.9998m      0.         699.9998m
    1.97000n      0.         699.9998m      0.         699.9998m
    1.98000n      0.         699.9998m      0.         699.9998m
    1.99000n      0.         699.9998m      0.         699.9998m
    2.00000n      0.         699.9998m      0.         699.9998m
    2.01000n      0.         699.9998m      0.         699.9998m
    2.02000n      0.         699.9998m      0.         699.9998m
    2.03000n      0.         699.9998m      0.         699.9998m
    2.04000n      0.         699.9998m      0.         699.9998m
    2.05000n      0.         699.9998m      0.         699.9998m
    2.06000n      0.         699.9998m      0.         699.9998m
    2.07000n      0.         699.9998m      0.         699.9998m
    2.08000n      0.         699.9998m      0.         699.9998m
    2.09000n      0.         699.9998m      0.         699.9998m
    2.10000n      0.         699.9998m      0.         699.9998m
    2.11000n      0.         699.9998m      0.         699.9998m
    2.12000n      0.         699.9998m      0.         699.9998m
    2.13000n      0.         699.9998m      0.         699.9998m
    2.14000n      0.         699.9998m      0.         699.9998m
    2.15000n      0.         699.9998m      0.         699.9998m
    2.16000n      0.         699.9998m      0.         699.9998m
    2.17000n      0.         699.9998m      0.         699.9998m
    2.18000n      0.         699.9998m      0.         699.9998m
    2.19000n      0.         699.9998m      0.         699.9998m
    2.20000n      0.         699.9998m      0.         699.9998m
    2.21000n      0.         699.9998m      0.         699.9998m
    2.22000n      0.         699.9998m      0.         699.9998m
    2.23000n      0.         699.9998m      0.         699.9998m
    2.24000n      0.         699.9998m      0.         699.9998m
    2.25000n      0.         699.9998m      0.         699.9998m
    2.26000n      0.         699.9998m      0.         699.9998m
    2.27000n      0.         699.9998m      0.         699.9998m
    2.28000n      0.         699.9998m      0.         699.9998m
    2.29000n      0.         699.9998m      0.         699.9998m
    2.30000n      0.         699.9998m      0.         699.9998m
    2.31000n      0.         699.9998m      0.         699.9998m
    2.32000n      0.         699.9998m      0.         699.9998m
    2.33000n      0.         699.9998m      0.         699.9998m
    2.34000n      0.         699.9998m      0.         699.9998m
    2.35000n      0.         699.9998m      0.         699.9998m
    2.36000n      0.         699.9998m      0.         699.9998m
    2.37000n      0.         699.9998m      0.         699.9998m
    2.38000n      0.         699.9998m      0.         699.9998m
    2.39000n      0.         699.9998m      0.         699.9998m
    2.40000n      0.         699.9998m      0.         699.9998m
    2.41000n      0.         699.9998m      0.         699.9998m
    2.42000n      0.         699.9998m      0.         699.9998m
    2.43000n      0.         699.9998m      0.         699.9998m
    2.44000n      0.         699.9998m      0.         699.9998m
    2.45000n      0.         699.9998m      0.         699.9998m
    2.46000n      0.         699.9998m      0.         699.9998m
    2.47000n      0.         699.9998m      0.         699.9998m
    2.48000n      0.         699.9998m      0.         699.9998m
    2.49000n      0.         699.9998m      0.         699.9998m
    2.50000n      0.         699.9998m      0.         699.9998m
    2.51000n      0.         699.9998m      0.         699.9998m
    2.52000n      0.         699.9998m      0.         699.9998m
    2.53000n      0.         699.9998m      0.         699.9998m
    2.54000n      0.         699.9998m      0.         699.9998m
    2.55000n      0.         699.9998m      0.         699.9998m
    2.56000n      0.         699.9998m      0.         699.9998m
    2.57000n      0.         699.9998m      0.         699.9998m
    2.58000n      0.         699.9998m      0.         699.9998m
    2.59000n      0.         699.9998m      0.         699.9998m
    2.60000n      0.         699.9998m      0.         699.9998m
    2.61000n      0.         699.9998m      0.         699.9998m
    2.62000n      0.         699.9998m      0.         699.9998m
    2.63000n      0.         699.9998m      0.         699.9998m
    2.64000n      0.         699.9998m      0.         699.9998m
    2.65000n      0.         699.9998m      0.         699.9998m
    2.66000n      0.         699.9998m      0.         699.9998m
    2.67000n      0.         699.9998m      0.         699.9998m
    2.68000n      0.         699.9998m      0.         699.9998m
    2.69000n      0.         699.9998m      0.         699.9998m
    2.70000n      0.         699.9998m      0.         699.9998m
    2.71000n      0.         699.9998m      0.         699.9998m
    2.72000n      0.         699.9998m      0.         699.9998m
    2.73000n      0.         699.9998m      0.         699.9998m
    2.74000n      0.         699.9998m      0.         699.9998m
    2.75000n      0.         699.9998m      0.         699.9998m
    2.76000n      0.         699.9998m      0.         699.9998m
    2.77000n      0.         699.9998m      0.         699.9998m
    2.78000n      0.         699.9998m      0.         699.9998m
    2.79000n      0.         699.9998m      0.         699.9998m
    2.80000n      0.         699.9998m      0.         699.9998m
    2.81000n      0.         699.9998m      0.         699.9998m
    2.82000n      0.         699.9998m      0.         699.9998m
    2.83000n      0.         699.9998m      0.         699.9998m
    2.84000n      0.         699.9998m      0.         699.9998m
    2.85000n      0.         699.9998m      0.         699.9998m
    2.86000n      2.0673m    702.5586m      2.0673m    702.5586m
    2.87000n     40.4013m    708.9356m     40.4013m    708.9356m
    2.88000n    142.5299m    704.0249m    142.5299m    704.0249m
    2.89000n    144.3169m    699.8160m    144.3169m    699.8160m
    2.90000n    143.7276m    699.9115m    143.7276m    699.9115m
    2.91000n    143.1626m    699.9136m    143.1626m    699.9136m
    2.92000n    142.5190m    699.9100m    142.5190m    699.9100m
    2.93000n    141.8400m    699.9040m    141.8400m    699.9040m
    2.94000n    141.1610m    699.8979m    141.1610m    699.8979m
    2.95000n    139.8341m    699.8875m    139.8341m    699.8875m
    2.96000n    138.2520m    699.8755m    138.2520m    699.8755m
    2.97000n    136.6699m    699.8634m    136.6699m    699.8634m
    2.98000n    135.0879m    699.8513m    135.0879m    699.8513m
    2.99000n    133.5058m    699.8393m    133.5058m    699.8393m
    3.00000n    131.9237m    699.8272m    131.9237m    699.8272m
    3.01000n    130.3417m    699.8151m    130.3417m    699.8151m
    3.02000n    128.7596m    699.8031m    128.7596m    699.8031m
