            bl           blb          bit          we
1.72000n    698.0237m     44.1379u    700.0000m    700.0000m
1.73000n    693.5182m      7.3861m    700.0000m    700.0000m
1.74000n    681.2408m     32.8163m    700.0000m    700.0000m
1.75000n    669.8487m     60.0537m    700.0000m    700.0000m
1.76000n    659.4185m     86.1747m    700.0000m    700.0000m
1.77000n    651.3725m    109.2489m    700.0000m    700.0000m
1.78000n    645.6724m    129.3253m    700.0000m    700.0000m
1.79000n    639.9722m    149.4017m    700.0000m    700.0000m
1.80000n    634.2721m    169.4781m    700.0000m    700.0000m
1.81000n    628.5720m    189.5545m    700.0000m    700.0000m
1.82000n    622.8719m    209.6309m    700.0000m    700.0000m
1.83000n    617.1717m    229.7073m    700.0000m    700.0000m
1.84000n    614.9066m    244.6254m    700.0000m    700.0000m
1.85000n    613.4301m    258.3594m    700.0000m    700.0000m
1.86000n    611.9535m    272.0933m    700.0000m    700.0000m
1.87000n    610.4770m    285.8273m    700.0000m    700.0000m
1.88000n    609.0004m    299.5612m    700.0000m    700.0000m
1.89000n    607.5238m    313.2952m    700.0000m    700.0000m
1.90000n    606.0473m    327.0291m    700.0000m    700.0000m
1.91000n    605.3050m    338.9288m    700.0000m    700.0000m
1.92000n    605.6102m    348.2112m    700.0000m    700.0000m
1.93000n    605.9154m    357.4936m    700.0000m    700.0000m
1.94000n    606.2206m    366.7761m    700.0000m    700.0000m
1.95000n    606.5259m    376.0585m    700.0000m    700.0000m
1.96000n    606.8311m    385.3409m    700.0000m    700.0000m
1.97000n    607.1363m    394.6234m    700.0000m    700.0000m
1.98000n    607.4416m    403.9058m    700.0000m    700.0000m
1.99000n    607.7468m    413.1883m    700.0000m    700.0000m
2.00000n    608.0520m    422.4707m    700.0000m    700.0000m
2.01000n    608.7696m    433.9972m    350.0000m    350.0000m
2.02000n    609.2241m    451.3866m      0.           0.
2.03000n    608.3491m    467.9033m      0.           0.
2.04000n    607.9719m    483.5186m      0.           0.
2.05000n    608.3067m    497.7760m      0.           0.
2.06000n    608.6416m    512.0334m      0.           0.
2.07000n    610.2116m    523.3325m      0.           0.
2.08000n    611.8614m    534.4405m      0.           0.
2.09000n    613.5112m    545.5485m      0.           0.
2.10000n    615.1610m    556.6566m      0.           0.
2.11000n    616.8107m    567.7646m      0.           0.
2.12000n    618.8419m    576.8843m      0.           0.
2.13000n    621.4859m    582.8090m      0.           0.
2.14000n    624.1299m    588.7337m      0.           0.
2.15000n    626.7739m    594.6583m      0.           0.
2.16000n    629.4179m    600.5830m      0.           0.
2.17000n    632.0619m    606.5077m      0.           0.
2.18000n    634.7059m    612.4324m      0.           0.
2.19000n    637.3500m    618.3571m      0.           0.
2.20000n    639.9940m    624.2817m      0.           0.
2.21000n    642.6380m    630.2064m      0.           0.
2.22000n    645.2820m    636.1311m      0.           0.
2.23000n    647.9260m    642.0558m      0.           0.
2.24000n    650.5700m    647.9805m      0.           0.
2.25000n    653.1706m    652.6304m      0.           0.
2.26000n    655.7017m    655.2345m      0.           0.
2.27000n    658.2328m    657.8387m      0.           0.
2.28000n    660.7639m    660.4429m      0.           0.
2.29000n    663.4340m    663.2092m      0.           0.
2.30000n    664.9041m    664.6920m      0.           0.
2.31000n    665.4840m    665.2762m      0.           0.
2.32000n    665.4840m    665.2761m      0.           0.
2.33000n    665.4840m    665.2761m      0.           0.
2.34000n    665.4840m    665.2761m      0.           0.
2.35000n    665.4840m    665.2761m      0.           0.
2.36000n    665.4840m    665.2761m      0.           0.
2.37000n    665.4839m    665.2761m      0.           0.
2.38000n    665.4839m    665.2760m      0.           0.
2.39000n    665.4839m    665.2760m      0.           0.
2.40000n    665.4839m    665.2760m      0.           0.
2.41000n    665.4839m    665.2760m      0.           0.
