                    x0           x1           x2           x3
  315.70000m    661.3519m    315.7000m    661.3519m    315.7000m
  316.40000m    660.1359m    316.4000m    660.1359m    316.4000m
  317.10000m    658.8672m    317.1000m    658.8672m    317.1000m
  317.80000m    657.5417m    317.8000m    657.5417m    317.8000m
  318.50000m    656.1552m    318.5000m    656.1552m    318.5000m
  319.20000m    654.7026m    319.2000m    654.7026m    319.2000m
  319.90000m    653.1784m    319.9000m    653.1784m    319.9000m
  320.60000m    651.5763m    320.6000m    651.5763m    320.6000m
  321.30000m    649.8890m    321.3000m    649.8890m    321.3000m
  322.00000m    648.1083m    322.0000m    648.1083m    322.0000m
  322.70000m    646.2247m    322.7000m    646.2247m    322.7000m
  323.40000m    644.2274m    323.4000m    644.2274m    323.4000m
  324.10000m    642.1034m    324.1000m    642.1034m    324.1000m
  324.80000m    639.8381m    324.8000m    639.8381m    324.8000m
  325.50000m    637.4136m    325.5000m    637.4136m    325.5000m
  326.20000m    634.8093m    326.2000m    634.8093m    326.2000m
  326.90000m    632.0001m    326.9000m    632.0001m    326.9000m
  327.60000m    628.9561m    327.6000m    628.9561m    327.6000m
  328.30000m    625.6407m    328.3000m    625.6407m    328.3000m
  329.00000m    622.0095m    329.0000m    622.0095m    329.0000m
  329.70000m    618.0074m    329.7000m    618.0074m    329.7000m
  330.40000m    613.5664m    330.4000m    613.5664m    330.4000m
  331.10000m    608.6012m    331.1000m    608.6012m    331.1000m
  331.80000m    603.0059m    331.8000m    603.0059m    331.8000m
  332.50000m    596.6481m    332.5000m    596.6481m    332.5000m
  333.20000m    589.3656m    333.2000m    589.3656m    333.2000m
  333.90000m    580.9657m    333.9000m    580.9657m    333.9000m
  334.60000m    571.2308m    334.6000m    571.2308m    334.6000m
  335.30000m    559.9604m    335.3000m    559.9604m    335.3000m
  336.00000m    547.0229m    336.0000m    547.0229m    336.0000m
  336.70000m    532.4903m    336.7000m    532.4903m    336.7000m
  337.40000m    516.8105m    337.4000m    516.8105m    337.4000m
  338.10000m    500.9203m    338.1000m    500.9203m    338.1000m
  338.80000m    486.0268m    338.8000m    486.0268m    338.8000m
  339.50000m    473.0151m    339.5000m    473.0151m    339.5000m
  340.20000m    462.0959m    340.2000m    462.0959m    340.2000m
  340.90000m    453.0162m    340.9000m    453.0162m    340.9000m
  341.60000m    445.3959m    341.6000m    445.3959m    341.6000m
  342.30000m    438.8955m    342.3000m    438.8955m    342.3000m
  343.00000m    433.2518m    343.0000m    433.2518m    343.0000m
  343.70000m    428.2771m    343.7000m    428.2771m    343.7000m
  344.40000m    423.8284m    344.4000m    423.8284m    344.4000m
  345.10000m    419.8024m    345.1000m    419.8024m    345.1000m
  345.80000m    416.1216m    345.8000m    416.1216m    345.8000m
  346.50000m    412.7273m    346.5000m    412.7273m    346.5000m
  347.20000m    409.5739m    347.2000m    409.5739m    347.2000m
  347.90000m    406.6254m    347.9000m    406.6254m    347.9000m
  348.60000m    403.8533m    348.6000m    403.8533m    348.6000m
  349.30000m    401.2343m    349.3000m    401.2343m    349.3000m
  350.00000m    398.7495m    350.0000m    398.7495m    350.0000m
  350.70000m    396.3832m    350.7000m    396.3832m    350.7000m
  351.40000m    394.1223m    351.4000m    394.1223m    351.4000m
  352.10000m    391.9555m    352.1000m    391.9555m    352.1000m
  352.80000m    389.8735m    352.8000m    389.8735m    352.8000m
  353.50000m    387.8681m    353.5000m    387.8681m    353.5000m
  354.20000m    385.9324m    354.2000m    385.9324m    354.2000m
  354.90000m    384.0603m    354.9000m    384.0603m    354.9000m
  355.60000m    382.2463m    355.6000m    382.2463m    355.6000m
  356.30000m    380.4859m    356.3000m    380.4859m    356.3000m
  357.00000m    378.7749m    357.0000m    378.7749m    357.0000m
  357.70000m    377.1096m    357.7000m    377.1096m    357.7000m
  358.40000m    375.4867m    358.4000m    375.4867m    358.4000m
  359.10000m    373.9032m    359.1000m    373.9032m    359.1000m
  359.80000m    372.3567m    359.8000m    372.3567m    359.8000m
  360.50000m    370.8445m    360.5000m    370.8445m    360.5000m
  361.20000m    369.3646m    361.2000m    369.3646m    361.2000m
  361.90000m    367.9151m    361.9000m    367.9151m    361.9000m
  362.60000m    366.4941m    362.6000m    366.4941m    362.6000m
  363.30000m    365.1000m    363.3000m    365.1000m    363.3000m
  364.00000m    363.7313m    364.0000m    363.7313m    364.0000m
  364.70000m    362.3866m    364.7000m    362.3866m    364.7000m
  365.40000m    361.0647m    365.4000m    361.0647m    365.4000m
  366.10000m    359.7644m    366.1000m    359.7644m    366.1000m
  366.80000m    358.4846m    366.8000m    358.4846m    366.8000m
  367.50000m    357.2244m    367.5000m    357.2244m    367.5000m
  368.20000m    355.9827m    368.2000m    355.9827m    368.2000m
  368.90000m    354.7588m    368.9000m    354.7588m    368.9000m
  369.60000m    353.5518m    369.6000m    353.5518m    369.6000m
  370.30000m    352.3610m    370.3000m    352.3610m    370.3000m
  371.00000m    351.1858m    371.0000m    351.1858m    371.0000m
  371.70000m    350.0253m    371.7000m    350.0253m    371.7000m
  372.40000m    348.8791m    372.4000m    348.8791m    372.4000m
  373.10000m    347.7466m    373.1000m    347.7466m    373.1000m
  373.80000m    346.6271m    373.8000m    346.6271m    373.8000m
  374.50000m    345.5203m    374.5000m    345.5203m    374.5000m
  375.20000m    344.4256m    375.2000m    344.4256m    375.2000m
  375.90000m    343.3426m    375.9000m    343.3426m    375.9000m
  376.60000m    342.2708m    376.6000m    342.2708m    376.6000m
  377.30000m    341.2100m    377.3000m    341.2100m    377.3000m
  378.00000m    340.1595m    378.0000m    340.1595m    378.0000m
  378.70000m    339.1192m    378.7000m    339.1192m    378.7000m
  379.40000m    338.0887m    379.4000m    338.0887m    379.4000m
  380.10000m    337.0677m    380.1000m    337.0677m    380.1000m
  380.80000m    336.0558m    380.8000m    336.0558m    380.8000m
  381.50000m    335.0527m    381.5000m    335.0527m    381.5000m
  382.20000m    334.0582m    382.2000m    334.0582m    382.2000m
  382.90000m    333.0721m    382.9000m    333.0721m    382.9000m
  383.60000m    332.0940m    383.6000m    332.0940m    383.6000m
  384.30000m    331.1237m    384.3000m    331.1237m    384.3000m
  385.00000m    330.1611m    385.0000m    330.1611m    385.0000m
  385.70000m    329.2058m    385.7000m    329.2058m    385.7000m
  386.40000m    328.2577m    386.4000m    328.2577m    386.4000m
  387.10000m    327.3166m    387.1000m    327.3166m    387.1000m
  387.80000m    326.3822m    387.8000m    326.3822m    387.8000m
  388.50000m    325.4545m    388.5000m    325.4545m    388.5000m
  389.20000m    324.5332m    389.2000m    324.5332m    389.2000m
  389.90000m    323.6181m    389.9000m    323.6181m    389.9000m
  390.60000m    322.7092m    390.6000m    322.7092m    390.6000m
  391.30000m    321.8062m    391.3000m    321.8062m    391.3000m
  392.00000m    320.9090m    392.0000m    320.9090m    392.0000m
  392.70000m    320.0174m    392.7000m    320.0174m    392.7000m
  393.40000m    319.1314m    393.4000m    319.1314m    393.4000m
  394.10000m    318.2508m    394.1000m    318.2508m    394.1000m
  394.80000m    317.3754m    394.8000m    317.3754m    394.8000m
  395.50000m    316.5052m    395.5000m    316.5052m    395.5000m
  396.20000m    315.6400m    396.2000m    315.6400m    396.2000m
  396.90000m    314.7798m    396.9000m    314.7798m    396.9000m
  397.60000m    313.9243m    397.6000m    313.9243m    397.6000m
  398.30000m    313.0736m    398.3000m    313.0736m    398.3000m
  399.00000m    312.2274m    399.0000m    312.2274m    399.0000m
  399.70000m    311.3858m    399.7000m    311.3858m    399.7000m
  400.40000m    310.5486m    400.4000m    310.5486m    400.4000m
  401.10000m    309.7157m    401.1000m    309.7157m    401.1000m
  401.80000m    308.8871m    401.8000m    308.8871m    401.8000m
  402.50000m    308.0626m    402.5000m    308.0626m    402.5000m
  403.20000m    307.2422m    403.2000m    307.2422m    403.2000m
  403.90000m    306.4258m    403.9000m    306.4258m    403.9000m
  404.60000m    305.6133m    404.6000m    305.6133m    404.6000m
  405.30000m    304.8047m    405.3000m    304.8047m    405.3000m
  406.00000m    303.9998m    406.0000m    303.9998m    406.0000m
  406.70000m    303.1987m    406.7000m    303.1987m    406.7000m
  407.40000m    302.4012m    407.4000m    302.4012m    407.4000m
  408.10000m    301.6073m    408.1000m    301.6073m    408.1000m
  408.80000m    300.8169m    408.8000m    300.8169m    408.8000m
  409.50000m    300.0300m    409.5000m    300.0300m    409.5000m
  410.20000m    299.2465m    410.2000m    299.2465m    410.2000m
  410.90000m    298.4663m    410.9000m    298.4663m    410.9000m
  411.60000m    297.6894m    411.6000m    297.6894m    411.6000m
  412.30000m    296.9157m    412.3000m    296.9157m    412.3000m
  413.00000m    296.1453m    413.0000m    296.1453m    413.0000m
  413.70000m    295.3779m    413.7000m    295.3779m    413.7000m
  414.40000m    294.6137m    414.4000m    294.6137m    414.4000m
  415.10000m    293.8525m    415.1000m    293.8525m    415.1000m
  415.80000m    293.0943m    415.8000m    293.0943m    415.8000m
  416.50000m    292.3391m    416.5000m    292.3391m    416.5000m
  417.20000m    291.5868m    417.2000m    291.5868m    417.2000m
  417.90000m    290.8373m    417.9000m    290.8373m    417.9000m
  418.60000m    290.0907m    418.6000m    290.0907m    418.6000m
  419.30000m    289.3469m    419.3000m    289.3469m    419.3000m
  420.00000m    288.6058m    420.0000m    288.6058m    420.0000m
  420.70000m    287.8674m    420.7000m    287.8674m    420.7000m
  421.40000m    287.1318m    421.4000m    287.1318m    421.4000m
  422.10000m    286.3987m    422.1000m    286.3987m    422.1000m
  422.80000m    285.6683m    422.8000m    285.6683m    422.8000m
  423.50000m    284.9405m    423.5000m    284.9405m    423.5000m
  424.20000m    284.2152m    424.2000m    284.2152m    424.2000m
  424.90000m    283.4925m    424.9000m    283.4925m    424.9000m
  425.60000m    282.7722m    425.6000m    282.7722m    425.6000m
  426.30000m    282.0544m    426.3000m    282.0544m    426.3000m
  427.00000m    281.3391m    427.0000m    281.3391m    427.0000m
  427.70000m    280.6262m    427.7000m    280.6262m    427.7000m
  428.40000m    279.9156m    428.4000m    279.9156m    428.4000m
  429.10000m    279.2074m    429.1000m    279.2074m    429.1000m
  429.80000m    278.5016m    429.8000m    278.5016m    429.8000m
  430.50000m    277.7980m    430.5000m    277.7980m    430.5000m
  431.20000m    277.0968m    431.2000m    277.0968m    431.2000m
  431.90000m    276.3978m    431.9000m    276.3978m    431.9000m
  432.60000m    275.7010m    432.6000m    275.7010m    432.6000m
  433.30000m    275.0065m    433.3000m    275.0065m    433.3000m
  434.00000m    274.3142m    434.0000m    274.3142m    434.0000m
  434.70000m    273.6241m    434.7000m    273.6241m    434.7000m
  435.40000m    272.9361m    435.4000m    272.9361m    435.4000m
  436.10000m    272.2503m    436.1000m    272.2503m    436.1000m
  436.80000m    271.5667m    436.8000m    271.5667m    436.8000m
  437.50000m    270.8851m    437.5000m    270.8851m    437.5000m
  438.20000m    270.2057m    438.2000m    270.2057m    438.2000m
  438.90000m    269.5283m    438.9000m    269.5283m    438.9000m
  439.60000m    268.8530m    439.6000m    268.8530m    439.6000m
  440.30000m    268.1798m    440.3000m    268.1798m    440.3000m
  441.00000m    267.5086m    441.0000m    267.5086m    441.0000m
  441.70000m    266.8395m    441.7000m    266.8395m    441.7000m
  442.40000m    266.1723m    442.4000m    266.1723m    442.4000m
  443.10000m    265.5072m    443.1000m    265.5072m    443.1000m
  443.80000m    264.8441m    443.8000m    264.8441m    443.8000m
  444.50000m    264.1829m    444.5000m    264.1829m    444.5000m
  445.20000m    263.5238m    445.2000m    263.5238m    445.2000m
  445.90000m    262.8666m    445.9000m    262.8666m    445.9000m
  446.60000m    262.2113m    446.6000m    262.2113m    446.6000m
  447.30000m    261.5581m    447.3000m    261.5581m    447.3000m
  448.00000m    260.9067m    448.0000m    260.9067m    448.0000m
  448.70000m    260.2573m    448.7000m    260.2573m    448.7000m
  449.40000m    259.6098m    449.4000m    259.6098m    449.4000m
  450.10000m    258.9642m    450.1000m    258.9642m    450.1000m
  450.80000m    258.3206m    450.8000m    258.3206m    450.8000m
  451.50000m    257.6788m    451.5000m    257.6788m    451.5000m
  452.20000m    257.0390m    452.2000m    257.0390m    452.2000m
  452.90000m    256.4010m    452.9000m    256.4010m    452.9000m
  453.60000m    255.7650m    453.6000m    255.7650m    453.6000m
  454.30000m    255.1308m    454.3000m    255.1308m    454.3000m
  455.00000m    254.4986m    455.0000m    254.4986m    455.0000m
  455.70000m    253.8682m    455.7000m    253.8682m    455.7000m
  456.40000m    253.2397m    456.4000m    253.2397m    456.4000m
  457.10000m    252.6131m    457.1000m    252.6131m    457.1000m
  457.80000m    251.9883m    457.8000m    251.9883m    457.8000m
  458.50000m    251.3654m    458.5000m    251.3654m    458.5000m
  459.20000m    250.7445m    459.2000m    250.7445m    459.2000m
  459.90000m    250.1253m    459.9000m    250.1253m    459.9000m
  460.60000m    249.5081m    460.6000m    249.5081m    460.6000m
  461.30000m    248.8927m    461.3000m    248.8927m    461.3000m
  462.00000m    248.2793m    462.0000m    248.2793m    462.0000m
  462.70000m    247.6677m    462.7000m    247.6677m    462.7000m
  463.40000m    247.0579m    463.4000m    247.0579m    463.4000m
  464.10000m    246.4501m    464.1000m    246.4501m    464.1000m
  464.80000m    245.8441m    464.8000m    245.8441m    464.8000m
  465.50000m    245.2401m    465.5000m    245.2401m    465.5000m
  466.20000m    244.6379m    466.2000m    244.6379m    466.2000m
  466.90000m    244.0376m    466.9000m    244.0376m    466.9000m
  467.60000m    243.4392m    467.6000m    243.4392m    467.6000m
  468.30000m    242.8427m    468.3000m    242.8427m    468.3000m
  469.00000m    242.2481m    469.0000m    242.2481m    469.0000m
  469.70000m    241.6554m    469.7000m    241.6554m    469.7000m
  470.40000m    241.0646m    470.4000m    241.0646m    470.4000m
  471.10000m    240.4758m    471.1000m    240.4758m    471.1000m
  471.80000m    239.8889m    471.8000m    239.8889m    471.8000m
  472.50000m    239.3038m    472.5000m    239.3038m    472.5000m
  473.20000m    238.7208m    473.2000m    238.7208m    473.2000m
  473.90000m    238.1396m    473.9000m    238.1396m    473.9000m
  474.60000m    237.5605m    474.6000m    237.5605m    474.6000m
  475.30000m    236.9832m    475.3000m    236.9832m    475.3000m
  476.00000m    236.4080m    476.0000m    236.4080m    476.0000m
  476.70000m    235.8346m    476.7000m    235.8346m    476.7000m
  477.40000m    235.2633m    477.4000m    235.2633m    477.4000m
  478.10000m    234.6939m    478.1000m    234.6939m    478.1000m
  478.80000m    234.1266m    478.8000m    234.1266m    478.8000m
  479.50000m    233.5612m    479.5000m    233.5612m    479.5000m
  480.20000m    232.9978m    480.2000m    232.9978m    480.2000m
  480.90000m    232.4365m    480.9000m    232.4365m    480.9000m
  481.60000m    231.8771m    481.6000m    231.8771m    481.6000m
  482.30000m    231.3198m    482.3000m    231.3198m    482.3000m
  483.00000m    230.7645m    483.0000m    230.7645m    483.0000m
  483.70000m    230.2112m    483.7000m    230.2112m    483.7000m
  484.40000m    229.6600m    484.4000m    229.6600m    484.4000m
  485.10000m    229.1109m    485.1000m    229.1109m    485.1000m
  485.80000m    228.5638m    485.8000m    228.5638m    485.8000m
  486.50000m    228.0188m    486.5000m    228.0188m    486.5000m
  487.20000m    227.4759m    487.2000m    227.4759m    487.2000m
  487.90000m    226.9350m    487.9000m    226.9350m    487.9000m
  488.60000m    226.3963m    488.6000m    226.3963m    488.6000m
  489.30000m    225.8596m    489.3000m    225.8596m    489.3000m
  490.00000m    225.3251m    490.0000m    225.3251m    490.0000m
  490.70000m    224.7927m    490.7000m    224.7927m    490.7000m
  491.40000m    224.2625m    491.4000m    224.2625m    491.4000m
  492.10000m    223.7344m    492.1000m    223.7344m    492.1000m
  492.80000m    223.2084m    492.8000m    223.2084m    492.8000m
  493.50000m    222.6846m    493.5000m    222.6846m    493.5000m
  494.20000m    222.1629m    494.2000m    222.1629m    494.2000m
  494.90000m    221.6435m    494.9000m    221.6435m    494.9000m
  495.60000m    221.1262m    495.6000m    221.1262m    495.6000m
  496.30000m    220.6111m    496.3000m    220.6111m    496.3000m
  497.00000m    220.0981m    497.0000m    220.0981m    497.0000m
  497.70000m    219.5874m    497.7000m    219.5874m    497.7000m
  498.40000m    219.0789m    498.4000m    219.0789m    498.4000m
  499.10000m    218.5727m    499.1000m    218.5727m    499.1000m
  499.80000m    218.0686m    499.8000m    218.0686m    499.8000m
  500.50000m    217.5668m    500.5000m    217.5668m    500.5000m
  501.20000m    217.0672m    501.2000m    217.0672m    501.2000m
  501.90000m    216.5699m    501.9000m    216.5699m    501.9000m
  502.60000m    216.0748m    502.6000m    216.0748m    502.6000m
  503.30000m    215.5820m    503.3000m    215.5820m    503.3000m
  504.00000m    215.0914m    504.0000m    215.0914m    504.0000m
  504.70000m    214.6031m    504.7000m    214.6031m    504.7000m
  505.40000m    214.1171m    505.4000m    214.1171m    505.4000m
  506.10000m    213.6333m    506.1000m    213.6333m    506.1000m
  506.80000m    213.1519m    506.8000m    213.1519m    506.8000m
  507.50000m    212.6727m    507.5000m    212.6727m    507.5000m
  508.20000m    212.1958m    508.2000m    212.1958m    508.2000m
  508.90000m    211.7213m    508.9000m    211.7213m    508.9000m
  509.60000m    211.2490m    509.6000m    211.2490m    509.6000m
  510.30000m    210.7790m    510.3000m    210.7790m    510.3000m
  511.00000m    210.3114m    511.0000m    210.3114m    511.0000m
  511.70000m    209.8460m    511.7000m    209.8460m    511.7000m
  512.40000m    209.3830m    512.4000m    209.3830m    512.4000m
  513.10000m    208.9223m    513.1000m    208.9223m    513.1000m
  513.80000m    208.4639m    513.8000m    208.4639m    513.8000m
  514.50000m    208.0078m    514.5000m    208.0078m    514.5000m
  515.20000m    207.5540m    515.2000m    207.5540m    515.2000m
  515.90000m    207.1026m    515.9000m    207.1026m    515.9000m
  516.60000m    206.6535m    516.6000m    206.6535m    516.6000m
  517.30000m    206.2067m    517.3000m    206.2067m    517.3000m
  518.00000m    205.7623m    518.0000m    205.7623m    518.0000m
  518.70000m    205.3202m    518.7000m    205.3202m    518.7000m
  519.40000m    204.8803m    519.4000m    204.8803m    519.4000m
  520.10000m    204.4429m    520.1000m    204.4429m    520.1000m
  520.80000m    204.0077m    520.8000m    204.0077m    520.8000m
  521.50000m    203.5749m    521.5000m    203.5749m    521.5000m
  522.20000m    203.1444m    522.2000m    203.1444m    522.2000m
  522.90000m    202.7162m    522.9000m    202.7162m    522.9000m
  523.60000m    202.2903m    523.6000m    202.2903m    523.6000m
  524.30000m    201.8668m    524.3000m    201.8668m    524.3000m
  525.00000m    201.4455m    525.0000m    201.4455m    525.0000m
  525.70000m    201.0266m    525.7000m    201.0266m    525.7000m
  526.40000m    200.6100m    526.4000m    200.6100m    526.4000m
  527.10000m    200.1956m    527.1000m    200.1956m    527.1000m
  527.80000m    199.7836m    527.8000m    199.7836m    527.8000m
  528.50000m    199.3739m    528.5000m    199.3739m    528.5000m
  529.20000m    198.9664m    529.2000m    198.9664m    529.2000m
  529.90000m    198.5613m    529.9000m    198.5613m    529.9000m
  530.60000m    198.1584m    530.6000m    198.1584m    530.6000m
  531.30000m    197.7578m    531.3000m    197.7578m    531.3000m
  532.00000m    197.3595m    532.0000m    197.3595m    532.0000m
  532.70000m    196.9634m    532.7000m    196.9634m    532.7000m
  533.40000m    196.5696m    533.4000m    196.5696m    533.4000m
  534.10000m    196.1780m    534.1000m    196.1780m    534.1000m
  534.80000m    195.7887m    534.8000m    195.7887m    534.8000m
  535.50000m    195.4016m    535.5000m    195.4016m    535.5000m
  536.20000m    195.0168m    536.2000m    195.0168m    536.2000m
  536.90000m    194.6342m    536.9000m    194.6342m    536.9000m
  537.60000m    194.2538m    537.6000m    194.2538m    537.6000m
  538.30000m    193.8756m    538.3000m    193.8756m    538.3000m
  539.00000m    193.4996m    539.0000m    193.4996m    539.0000m
  539.70000m    193.1258m    539.7000m    193.1258m    539.7000m
  540.40000m    192.7542m    540.4000m    192.7542m    540.4000m
  541.10000m    192.3847m    541.1000m    192.3847m    541.1000m
  541.80000m    192.0175m    541.8000m    192.0175m    541.8000m
  542.50000m    191.6523m    542.5000m    191.6523m    542.5000m
  543.20000m    191.2894m    543.2000m    191.2894m    543.2000m
  543.90000m    190.9286m    543.9000m    190.9286m    543.9000m
  544.60000m    190.5699m    544.6000m    190.5699m    544.6000m
  545.30000m    190.2133m    545.3000m    190.2133m    545.3000m
  546.00000m    189.8589m    546.0000m    189.8589m    546.0000m
  546.70000m    189.5065m    546.7000m    189.5065m    546.7000m
  547.40000m    189.1563m    547.4000m    189.1563m    547.4000m
  548.10000m    188.8081m    548.1000m    188.8081m    548.1000m
  548.80000m    188.4620m    548.8000m    188.4620m    548.8000m
  549.50000m    188.1180m    549.5000m    188.1180m    549.5000m
  550.20000m    187.7760m    550.2000m    187.7760m    550.2000m
  550.90000m    187.4360m    550.9000m    187.4360m    550.9000m
  551.60000m    187.0981m    551.6000m    187.0981m    551.6000m
  552.30000m    186.7623m    552.3000m    186.7623m    552.3000m
  553.00000m    186.4284m    553.0000m    186.4284m    553.0000m
  553.70000m    186.0965m    553.7000m    186.0965m    553.7000m
  554.40000m    185.7666m    554.4000m    185.7666m    554.4000m
  555.10000m    185.4387m    555.1000m    185.4387m    555.1000m
  555.80000m    185.1128m    555.8000m    185.1128m    555.8000m
  556.50000m    184.7888m    556.5000m    184.7888m    556.5000m
  557.20000m    184.4668m    557.2000m    184.4668m    557.2000m
  557.90000m    184.1467m    557.9000m    184.1467m    557.9000m
  558.60000m    183.8286m    558.6000m    183.8286m    558.6000m
  559.30000m    183.5123m    559.3000m    183.5123m    559.3000m
  560.00000m    183.1979m    560.0000m    183.1979m    560.0000m
  560.70000m    182.8855m    560.7000m    182.8855m    560.7000m
  561.40000m    182.5749m    561.4000m    182.5749m    561.4000m
  562.10000m    182.2662m    562.1000m    182.2662m    562.1000m
  562.80000m    181.9593m    562.8000m    181.9593m    562.8000m
  563.50000m    181.6543m    563.5000m    181.6543m    563.5000m
  564.20000m    181.3512m    564.2000m    181.3512m    564.2000m
  564.90000m    181.0498m    564.9000m    181.0498m    564.9000m
  565.60000m    180.7503m    565.6000m    180.7503m    565.6000m
  566.30000m    180.4525m    566.3000m    180.4525m    566.3000m
  567.00000m    180.1566m    567.0000m    180.1566m    567.0000m
  567.70000m    179.8624m    567.7000m    179.8624m    567.7000m
  568.40000m    179.5700m    568.4000m    179.5700m    568.4000m
  569.10000m    179.2794m    569.1000m    179.2794m    569.1000m
  569.80000m    178.9905m    569.8000m    178.9905m    569.8000m
  570.50000m    178.7033m    570.5000m    178.7033m    570.5000m
  571.20000m    178.4179m    571.2000m    178.4179m    571.2000m
  571.90000m    178.1341m    571.9000m    178.1341m    571.9000m
  572.60000m    177.8521m    572.6000m    177.8521m    572.6000m
  573.30000m    177.5718m    573.3000m    177.5718m    573.3000m
  574.00000m    177.2931m    574.0000m    177.2931m    574.0000m
  574.70000m    177.0161m    574.7000m    177.0161m    574.7000m
  575.40000m    176.7407m    575.4000m    176.7407m    575.4000m
  576.10000m    176.4671m    576.1000m    176.4671m    576.1000m
  576.80000m    176.1950m    576.8000m    176.1950m    576.8000m
  577.50000m    175.9246m    577.5000m    175.9246m    577.5000m
  578.20000m    175.6557m    578.2000m    175.6557m    578.2000m
  578.90000m    175.3885m    578.9000m    175.3885m    578.9000m
  579.60000m    175.1229m    579.6000m    175.1229m    579.6000m
  580.30000m    174.8588m    580.3000m    174.8588m    580.3000m
  581.00000m    174.5963m    581.0000m    174.5963m    581.0000m
  581.70000m    174.3354m    581.7000m    174.3354m    581.7000m
  582.40000m    174.0760m    582.4000m    174.0760m    582.4000m
  583.10000m    173.8182m    583.1000m    173.8182m    583.1000m
  583.80000m    173.5619m    583.8000m    173.5619m    583.8000m
  584.50000m    173.3071m    584.5000m    173.3071m    584.5000m
  585.20000m    173.0538m    585.2000m    173.0538m    585.2000m
  585.90000m    172.8020m    585.9000m    172.8020m    585.9000m
  586.60000m    172.5517m    586.6000m    172.5517m    586.6000m
  587.30000m    172.3029m    587.3000m    172.3029m    587.3000m
  588.00000m    172.0555m    588.0000m    172.0555m    588.0000m
  588.70000m    171.8096m    588.7000m    171.8096m    588.7000m
  589.40000m    171.5652m    589.4000m    171.5652m    589.4000m
  590.10000m    171.3221m    590.1000m    171.3221m    590.1000m
  590.80000m    171.0805m    590.8000m    171.0805m    590.8000m
  591.50000m    170.8404m    591.5000m    170.8404m    591.5000m
  592.20000m    170.6016m    592.2000m    170.6016m    592.2000m
  592.90000m    170.3642m    592.9000m    170.3642m    592.9000m
  593.60000m    170.1282m    593.6000m    170.1282m    593.6000m
  594.30000m    169.8936m    594.3000m    169.8936m    594.3000m
  595.00000m    169.6603m    595.0000m    169.6603m    595.0000m
  595.70000m    169.4285m    595.7000m    169.4285m    595.7000m
  596.40000m    169.1979m    596.4000m    169.1979m    596.4000m
  597.10000m    168.9687m    597.1000m    168.9687m    597.1000m
  597.80000m    168.7408m    597.8000m    168.7408m    597.8000m
  598.50000m    168.5143m    598.5000m    168.5143m    598.5000m
  599.20000m    168.2891m    599.2000m    168.2891m    599.2000m
  599.90000m    168.0651m    599.9000m    168.0651m    599.9000m
  600.60000m    167.8425m    600.6000m    167.8425m    600.6000m
  601.30000m    167.6211m    601.3000m    167.6211m    601.3000m
  602.00000m    167.4010m    602.0000m    167.4010m    602.0000m
  602.70000m    167.1822m    602.7000m    167.1822m    602.7000m
  603.40000m    166.9647m    603.4000m    166.9647m    603.4000m
  604.10000m    166.7484m    604.1000m    166.7484m    604.1000m
  604.80000m    166.5333m    604.8000m    166.5333m    604.8000m
  605.50000m    166.3194m    605.5000m    166.3194m    605.5000m
  606.20000m    166.1068m    606.2000m    166.1068m    606.2000m
  606.90000m    165.8954m    606.9000m    165.8954m    606.9000m
  607.60000m    165.6852m    607.6000m    165.6852m    607.6000m
  608.30000m    165.4762m    608.3000m    165.4762m    608.3000m
  609.00000m    165.2684m    609.0000m    165.2684m    609.0000m
  609.70000m    165.0618m    609.7000m    165.0618m    609.7000m
  610.40000m    164.8563m    610.4000m    164.8563m    610.4000m
  611.10000m    164.6520m    611.1000m    164.6520m    611.1000m
  611.80000m    164.4489m    611.8000m    164.4489m    611.8000m
  612.50000m    164.2469m    612.5000m    164.2469m    612.5000m
  613.20000m    164.0461m    613.2000m    164.0461m    613.2000m
  613.90000m    163.8464m    613.9000m    163.8464m    613.9000m
  614.60000m    163.6478m    614.6000m    163.6478m    614.6000m
  615.30000m    163.4503m    615.3000m    163.4503m    615.3000m
  616.00000m    163.2539m    616.0000m    163.2539m    616.0000m
  616.70000m    163.0587m    616.7000m    163.0587m    616.7000m
  617.40000m    162.8645m    617.4000m    162.8645m    617.4000m
  618.10000m    162.6714m    618.1000m    162.6714m    618.1000m
  618.80000m    162.4794m    618.8000m    162.4794m    618.8000m
  619.50000m    162.2885m    619.5000m    162.2885m    619.5000m
  620.20000m    162.0986m    620.2000m    162.0986m    620.2000m
  620.90000m    161.9098m    620.9000m    161.9098m    620.9000m
  621.60000m    161.7220m    621.6000m    161.7220m    621.6000m
  622.30000m    161.5352m    622.3000m    161.5352m    622.3000m
  623.00000m    161.3495m    623.0000m    161.3495m    623.0000m
  623.70000m    161.1649m    623.7000m    161.1649m    623.7000m
  624.40000m    160.9812m    624.4000m    160.9812m    624.4000m
  625.10000m    160.7986m    625.1000m    160.7986m    625.1000m
  625.80000m    160.6169m    625.8000m    160.6169m    625.8000m
  626.50000m    160.4363m    626.5000m    160.4363m    626.5000m
  627.20000m    160.2567m    627.2000m    160.2567m    627.2000m
  627.90000m    160.0780m    627.9000m    160.0780m    627.9000m
  628.60000m    159.9003m    628.6000m    159.9003m    628.6000m
  629.30000m    159.7236m    629.3000m    159.7236m    629.3000m
  630.00000m    159.5478m    630.0000m    159.5478m    630.0000m
  630.70000m    159.3730m    630.7000m    159.3730m    630.7000m
