                    x0           x1           x2           x3
  120.40000m    699.9849m    120.4000m    699.9849m    120.4000m
  121.10000m    699.9845m    121.1000m    699.9845m    121.1000m
  121.80000m    699.9840m    121.8000m    699.9840m    121.8000m
  122.50000m    699.9836m    122.5000m    699.9836m    122.5000m
  123.20000m    699.9831m    123.2000m    699.9831m    123.2000m
  123.90000m    699.9827m    123.9000m    699.9827m    123.9000m
  124.60000m    699.9822m    124.6000m    699.9822m    124.6000m
  125.30000m    699.9817m    125.3000m    699.9817m    125.3000m
  126.00000m    699.9812m    126.0000m    699.9812m    126.0000m
  126.70000m    699.9806m    126.7000m    699.9806m    126.7000m
  127.40000m    699.9801m    127.4000m    699.9801m    127.4000m
  128.10000m    699.9795m    128.1000m    699.9795m    128.1000m
  128.80000m    699.9789m    128.8000m    699.9789m    128.8000m
  129.50000m    699.9783m    129.5000m    699.9783m    129.5000m
  130.20000m    699.9777m    130.2000m    699.9777m    130.2000m
  130.90000m    699.9771m    130.9000m    699.9771m    130.9000m
  131.60000m    699.9765m    131.6000m    699.9765m    131.6000m
  132.30000m    699.9758m    132.3000m    699.9758m    132.3000m
  133.00000m    699.9751m    133.0000m    699.9751m    133.0000m
  133.70000m    699.9744m    133.7000m    699.9744m    133.7000m
  134.40000m    699.9737m    134.4000m    699.9737m    134.4000m
  135.10000m    699.9729m    135.1000m    699.9729m    135.1000m
  135.80000m    699.9722m    135.8000m    699.9722m    135.8000m
  136.50000m    699.9714m    136.5000m    699.9714m    136.5000m
  137.20000m    699.9706m    137.2000m    699.9706m    137.2000m
  137.90000m    699.9697m    137.9000m    699.9697m    137.9000m
  138.60000m    699.9689m    138.6000m    699.9689m    138.6000m
  139.30000m    699.9680m    139.3000m    699.9680m    139.3000m
  140.00000m    699.9671m    140.0000m    699.9671m    140.0000m
  140.70000m    699.9662m    140.7000m    699.9662m    140.7000m
  141.40000m    699.9652m    141.4000m    699.9652m    141.4000m
  142.10000m    699.9642m    142.1000m    699.9642m    142.1000m
  142.80000m    699.9632m    142.8000m    699.9632m    142.8000m
  143.50000m    699.9621m    143.5000m    699.9621m    143.5000m
  144.20000m    699.9611m    144.2000m    699.9611m    144.2000m
  144.90000m    699.9600m    144.9000m    699.9600m    144.9000m
  145.60000m    699.9588m    145.6000m    699.9588m    145.6000m
  146.30000m    699.9577m    146.3000m    699.9577m    146.3000m
  147.00000m    699.9565m    147.0000m    699.9565m    147.0000m
  147.70000m    699.9552m    147.7000m    699.9552m    147.7000m
  148.40000m    699.9539m    148.4000m    699.9539m    148.4000m
  149.10000m    699.9526m    149.1000m    699.9526m    149.1000m
  149.80000m    699.9513m    149.8000m    699.9513m    149.8000m
  150.50000m    699.9499m    150.5000m    699.9499m    150.5000m
  151.20000m    699.9485m    151.2000m    699.9485m    151.2000m
  151.90000m    699.9470m    151.9000m    699.9470m    151.9000m
  152.60000m    699.9455m    152.6000m    699.9455m    152.6000m
  153.30000m    699.9439m    153.3000m    699.9439m    153.3000m
  154.00000m    699.9423m    154.0000m    699.9423m    154.0000m
  154.70000m    699.9407m    154.7000m    699.9407m    154.7000m
  155.40000m    699.9390m    155.4000m    699.9390m    155.4000m
  156.10000m    699.9373m    156.1000m    699.9373m    156.1000m
  156.80000m    699.9355m    156.8000m    699.9355m    156.8000m
  157.50000m    699.9336m    157.5000m    699.9336m    157.5000m
  158.20000m    699.9317m    158.2000m    699.9317m    158.2000m
  158.90000m    699.9298m    158.9000m    699.9298m    158.9000m
  159.60000m    699.9278m    159.6000m    699.9278m    159.6000m
  160.30000m    699.9257m    160.3000m    699.9257m    160.3000m
  161.00000m    699.9236m    161.0000m    699.9236m    161.0000m
  161.70000m    699.9214m    161.7000m    699.9214m    161.7000m
  162.40000m    699.9192m    162.4000m    699.9192m    162.4000m
  163.10000m    699.9168m    163.1000m    699.9168m    163.1000m
  163.80000m    699.9145m    163.8000m    699.9145m    163.8000m
  164.50000m    699.9120m    164.5000m    699.9120m    164.5000m
  165.20000m    699.9095m    165.2000m    699.9095m    165.2000m
  165.90000m    699.9069m    165.9000m    699.9069m    165.9000m
  166.60000m    699.9042m    166.6000m    699.9042m    166.6000m
  167.30000m    699.9015m    167.3000m    699.9015m    167.3000m
  168.00000m    699.8987m    168.0000m    699.8987m    168.0000m
  168.70000m    699.8958m    168.7000m    699.8958m    168.7000m
  169.40000m    699.8928m    169.4000m    699.8928m    169.4000m
  170.10000m    699.8897m    170.1000m    699.8897m    170.1000m
  170.80000m    699.8865m    170.8000m    699.8865m    170.8000m
  171.50000m    699.8833m    171.5000m    699.8833m    171.5000m
  172.20000m    699.8799m    172.2000m    699.8799m    172.2000m
  172.90000m    699.8765m    172.9000m    699.8765m    172.9000m
  173.60000m    699.8729m    173.6000m    699.8729m    173.6000m
  174.30000m    699.8693m    174.3000m    699.8693m    174.3000m
  175.00000m    699.8655m    175.0000m    699.8655m    175.0000m
  175.70000m    699.8617m    175.7000m    699.8617m    175.7000m
  176.40000m    699.8577m    176.4000m    699.8577m    176.4000m
  177.10000m    699.8536m    177.1000m    699.8536m    177.1000m
  177.80000m    699.8494m    177.8000m    699.8494m    177.8000m
  178.50000m    699.8451m    178.5000m    699.8451m    178.5000m
  179.20000m    699.8406m    179.2000m    699.8406m    179.2000m
  179.90000m    699.8360m    179.9000m    699.8360m    179.9000m
  180.60000m    699.8313m    180.6000m    699.8313m    180.6000m
  181.30000m    699.8264m    181.3000m    699.8264m    181.3000m
  182.00000m    699.8214m    182.0000m    699.8214m    182.0000m
  182.70000m    699.8163m    182.7000m    699.8163m    182.7000m
  183.40000m    699.8110m    183.4000m    699.8110m    183.4000m
  184.10000m    699.8056m    184.1000m    699.8056m    184.1000m
  184.80000m    699.8000m    184.8000m    699.8000m    184.8000m
  185.50000m    699.7942m    185.5000m    699.7942m    185.5000m
  186.20000m    699.7883m    186.2000m    699.7883m    186.2000m
  186.90000m    699.7822m    186.9000m    699.7822m    186.9000m
  187.60000m    699.7759m    187.6000m    699.7759m    187.6000m
  188.30000m    699.7694m    188.3000m    699.7694m    188.3000m
  189.00000m    699.7628m    189.0000m    699.7628m    189.0000m
  189.70000m    699.7559m    189.7000m    699.7559m    189.7000m
  190.40000m    699.7489m    190.4000m    699.7489m    190.4000m
  191.10000m    699.7416m    191.1000m    699.7416m    191.1000m
  191.80000m    699.7342m    191.8000m    699.7342m    191.8000m
  192.50000m    699.7265m    192.5000m    699.7265m    192.5000m
  193.20000m    699.7186m    193.2000m    699.7186m    193.2000m
  193.90000m    699.7105m    193.9000m    699.7105m    193.9000m
  194.60000m    699.7021m    194.6000m    699.7021m    194.6000m
  195.30000m    699.6935m    195.3000m    699.6935m    195.3000m
  196.00000m    699.6847m    196.0000m    699.6847m    196.0000m
  196.70000m    699.6755m    196.7000m    699.6755m    196.7000m
  197.40000m    699.6662m    197.4000m    699.6662m    197.4000m
  198.10000m    699.6565m    198.1000m    699.6565m    198.1000m
  198.80000m    699.6466m    198.8000m    699.6466m    198.8000m
  199.50000m    699.6364m    199.5000m    699.6364m    199.5000m
  200.20000m    699.6259m    200.2000m    699.6259m    200.2000m
  200.90000m    699.6150m    200.9000m    699.6150m    200.9000m
  201.60000m    699.6039m    201.6000m    699.6039m    201.6000m
  202.30000m    699.5925m    202.3000m    699.5925m    202.3000m
  203.00000m    699.5807m    203.0000m    699.5807m    203.0000m
  203.70000m    699.5685m    203.7000m    699.5685m    203.7000m
  204.40000m    699.5560m    204.4000m    699.5560m    204.4000m
  205.10000m    699.5432m    205.1000m    699.5432m    205.1000m
  205.80000m    699.5300m    205.8000m    699.5300m    205.8000m
  206.50000m    699.5164m    206.5000m    699.5164m    206.5000m
  207.20000m    699.5024m    207.2000m    699.5024m    207.2000m
  207.90000m    699.4880m    207.9000m    699.4880m    207.9000m
  208.60000m    699.4732m    208.6000m    699.4732m    208.6000m
  209.30000m    699.4579m    209.3000m    699.4579m    209.3000m
  210.00000m    699.4422m    210.0000m    699.4422m    210.0000m
  210.70000m    699.4261m    210.7000m    699.4261m    210.7000m
  211.40000m    699.4095m    211.4000m    699.4095m    211.4000m
  212.10000m    699.3924m    212.1000m    699.3924m    212.1000m
  212.80000m    699.3748m    212.8000m    699.3748m    212.8000m
  213.50000m    699.3567m    213.5000m    699.3567m    213.5000m
  214.20000m    699.3381m    214.2000m    699.3381m    214.2000m
  214.90000m    699.3189m    214.9000m    699.3189m    214.9000m
  215.60000m    699.2992m    215.6000m    699.2992m    215.6000m
  216.30000m    699.2789m    216.3000m    699.2789m    216.3000m
  217.00000m    699.2580m    217.0000m    699.2580m    217.0000m
  217.70000m    699.2365m    217.7000m    699.2365m    217.7000m
  218.40000m    699.2144m    218.4000m    699.2144m    218.4000m
  219.10000m    699.1917m    219.1000m    699.1917m    219.1000m
  219.80000m    699.1683m    219.8000m    699.1683m    219.8000m
  220.50000m    699.1442m    220.5000m    699.1442m    220.5000m
  221.20000m    699.1194m    221.2000m    699.1194m    221.2000m
  221.90000m    699.0940m    221.9000m    699.0940m    221.9000m
  222.60000m    699.0678m    222.6000m    699.0678m    222.6000m
  223.30000m    699.0408m    223.3000m    699.0408m    223.3000m
  224.00000m    699.0130m    224.0000m    699.0130m    224.0000m
  224.70000m    698.9845m    224.7000m    698.9845m    224.7000m
  225.40000m    698.9551m    225.4000m    698.9551m    225.4000m
  226.10000m    698.9249m    226.1000m    698.9249m    226.1000m
  226.80000m    698.8938m    226.8000m    698.8938m    226.8000m
  227.50000m    698.8618m    227.5000m    698.8618m    227.5000m
  228.20000m    698.8289m    228.2000m    698.8289m    228.2000m
  228.90000m    698.7951m    228.9000m    698.7951m    228.9000m
  229.60000m    698.7603m    229.6000m    698.7603m    229.6000m
  230.30000m    698.7244m    230.3000m    698.7244m    230.3000m
  231.00000m    698.6876m    231.0000m    698.6876m    231.0000m
  231.70000m    698.6497m    231.7000m    698.6497m    231.7000m
  232.40000m    698.6107m    232.4000m    698.6107m    232.4000m
  233.10000m    698.5706m    233.1000m    698.5706m    233.1000m
  233.80000m    698.5294m    233.8000m    698.5294m    233.8000m
  234.50000m    698.4869m    234.5000m    698.4869m    234.5000m
  235.20000m    698.4433m    235.2000m    698.4433m    235.2000m
  235.90000m    698.3984m    235.9000m    698.3984m    235.9000m
  236.60000m    698.3522m    236.6000m    698.3522m    236.6000m
  237.30000m    698.3048m    237.3000m    698.3048m    237.3000m
  238.00000m    698.2559m    238.0000m    698.2559m    238.0000m
  238.70000m    698.2057m    238.7000m    698.2057m    238.7000m
  239.40000m    698.1541m    239.4000m    698.1541m    239.4000m
  240.10000m    698.1009m    240.1000m    698.1009m    240.1000m
  240.80000m    698.0463m    240.8000m    698.0463m    240.8000m
  241.50000m    697.9901m    241.5000m    697.9901m    241.5000m
  242.20000m    697.9324m    242.2000m    697.9324m    242.2000m
  242.90000m    697.8730m    242.9000m    697.8730m    242.9000m
  243.60000m    697.8119m    243.6000m    697.8119m    243.6000m
  244.30000m    697.7491m    244.3000m    697.7491m    244.3000m
  245.00000m    697.6845m    245.0000m    697.6845m    245.0000m
  245.70000m    697.6181m    245.7000m    697.6181m    245.7000m
  246.40000m    697.5498m    246.4000m    697.5498m    246.4000m
  247.10000m    697.4796m    247.1000m    697.4796m    247.1000m
  247.80000m    697.4074m    247.8000m    697.4074m    247.8000m
  248.50000m    697.3332m    248.5000m    697.3332m    248.5000m
  249.20000m    697.2569m    249.2000m    697.2569m    249.2000m
  249.90000m    697.1785m    249.9000m    697.1785m    249.9000m
  250.60000m    697.0979m    250.6000m    697.0979m    250.6000m
  251.30000m    697.0150m    251.3000m    697.0150m    251.3000m
  252.00000m    696.9298m    252.0000m    696.9298m    252.0000m
  252.70000m    696.8422m    252.7000m    696.8422m    252.7000m
  253.40000m    696.7522m    253.4000m    696.7522m    253.4000m
  254.10000m    696.6596m    254.1000m    696.6596m    254.1000m
  254.80000m    696.5645m    254.8000m    696.5645m    254.8000m
  255.50000m    696.4667m    255.5000m    696.4667m    255.5000m
  256.20000m    696.3663m    256.2000m    696.3663m    256.2000m
  256.90000m    696.2630m    256.9000m    696.2630m    256.9000m
  257.60000m    696.1569m    257.6000m    696.1569m    257.6000m
  258.30000m    696.0478m    258.3000m    696.0478m    258.3000m
  259.00000m    695.9357m    259.0000m    695.9357m    259.0000m
  259.70000m    695.8206m    259.7000m    695.8206m    259.7000m
  260.40000m    695.7022m    260.4000m    695.7022m    260.4000m
  261.10000m    695.5806m    261.1000m    695.5806m    261.1000m
  261.80000m    695.4556m    261.8000m    695.4556m    261.8000m
  262.50000m    695.3272m    262.5000m    695.3272m    262.5000m
  263.20000m    695.1952m    263.2000m    695.1952m    263.2000m
  263.90000m    695.0597m    263.9000m    695.0597m    263.9000m
  264.60000m    694.9204m    264.6000m    694.9204m    264.6000m
  265.30000m    694.7773m    265.3000m    694.7773m    265.3000m
  266.00000m    694.6303m    266.0000m    694.6303m    266.0000m
  266.70000m    694.4792m    266.7000m    694.4792m    266.7000m
