             q           qb           q2           q2b    
1.64000n      0.         699.9998m     10.1398u    700.0002m
1.65000n      0.         699.9993m      8.7239u    699.9986m
1.66000n    543.0196n    699.9989m      7.3079u    699.9969m
1.67000n    792.6292n    699.9984m      5.8920u    699.9952m
1.68000n      1.0422u    699.9979m      4.4761u    699.9936m
1.69000n      1.2918u    699.9974m      3.0602u    699.9919m
1.70000n      1.5415u    699.9969m      1.6443u    699.9902m
1.71000n      1.7911u    699.9964m      0.         699.9885m
1.72000n     -8.2548u    700.3570m      3.4025m    700.1516m
1.73000n     -4.1240m    704.8220m     36.1645m    702.3432m
1.74000n    -39.8386u    699.8926m     49.2677m    699.9585m
1.75000n   -150.2306u    699.9348m     48.9342m    699.9635m
1.76000n   -137.6045u    699.7015m     46.5471m    699.8650m
1.77000n    -55.5037u    699.6489m     42.7850m    699.8412m
1.78000n    -25.5068u    699.8156m     40.5301m    699.9215m
1.79000n     -6.5313u    699.9315m     38.8282m    699.9742m
1.80000n     -8.3182u    699.9515m     38.1681m    699.9747m
1.81000n     -2.3696u    699.9765m     37.8632m    699.9882m
1.82000n      6.4955u    700.0034m     37.6920m    700.0066m
1.83000n      2.7940u    700.0024m     37.6530m    700.0035m
1.84000n     -3.3113u    699.9960m     37.6393m    699.9963m
1.85000n     -8.0636u    699.9910m     37.6272m    699.9906m
1.86000n     -4.5704u    699.9945m     37.6247m    699.9944m
1.87000n     -1.0772u    699.9980m     37.6222m    699.9982m
1.88000n      2.4161u    700.0015m     37.6197m    700.0020m
1.89000n      5.9093u    700.0050m     37.6172m    700.0058m
1.90000n      8.8546u    700.0079m     37.6151m    700.0090m
1.91000n      7.0776u    700.0063m     37.6164m    700.0072m
1.92000n      5.3007u    700.0047m     37.6178m    700.0054m
1.93000n      3.5237u    700.0031m     37.6191m    700.0036m
1.94000n      1.7468u    700.0015m     37.6204m    700.0018m
1.95000n      0.         699.9999m     37.6217m    699.9999m
1.96000n     -1.8071u    699.9983m     37.6231m    699.9981m
1.97000n     -3.5841u    699.9967m     37.6244m    699.9963m
1.98000n     -5.3610u    699.9950m     37.6257m    699.9945m
1.99000n     -7.1380u    699.9934m     37.6270m    699.9927m
2.00000n     -8.9150u    699.9918m     37.6284m    699.9909m
2.01000n    -63.4161u    699.8561m     28.7209m    699.9671m
2.02000n   -113.6724u    698.2374m     16.5352m    699.2072m
2.03000n    -44.4087u    699.4730m      8.1677m    699.7747m
2.04000n    -11.6855u    699.7359m      4.0443m    699.8838m
2.05000n     -9.9759u    699.8659m      1.9914m    699.9430m
2.06000n     -5.4749u    699.9439m    795.7395u    699.9769m
2.07000n      1.4842u    699.9762m    355.0086u    699.9887m
2.08000n      4.0696u    699.9958m     79.1135u    699.9964m
2.09000n      0.         699.9967m     45.1346u    699.9984m
2.10000n     -3.5968u    699.9976m     11.1557u    700.0003m
2.11000n     -4.1871u    699.9986m     -4.6385u    700.0009m
2.12000n     -1.6284u    699.9995m     -2.7747u    700.0003m
2.13000n    930.3755n    700.0004m   -910.7906n    699.9998m
2.14000n      3.4891u    700.0013m    953.0691n    699.9992m
2.15000n      5.3533u    700.0020m      2.4961u    699.9988m
2.16000n      4.1468u    700.0015m      2.6207u    699.9990m
2.17000n      2.9403u    700.0010m      2.7453u    699.9993m
2.18000n      1.7338u    700.0005m      2.8699u    699.9995m
2.19000n    527.2685n    700.0000m      2.9945u    699.9997m
2.20000n   -679.2500n    699.9995m      3.1191u    699.9999m
2.21000n     -1.8858u    699.9989m      3.2437u    700.0002m
2.22000n     -3.0923u    699.9984m      3.3684u    700.0004m
2.23000n     -4.2988u    699.9979m      3.4930u    700.0006m
2.24000n     -5.0816u    699.9976m      3.5069u    700.0008m
2.25000n     -2.7799u    699.9986m      2.7149u    700.0004m
2.26000n      0.         699.9996m      1.9229u    699.9999m
2.27000n      1.8234u    700.0006m      1.1309u    699.9995m
2.28000n      4.1251u    700.0016m      0.         699.9991m
2.29000n    -24.4697u    698.8774m     -7.3153m    699.4798m
2.30000n   -152.2909u    699.4236m    -14.6933m    699.7242m
2.31000n    -68.8891u    700.1625m    -15.4470m    700.0658m
2.32000n    -22.3348u    699.9903m    -15.1980m    700.0006m
2.33000n      2.5263u    700.0015m    -15.1977m    700.0003m
2.34000n     25.3320u    700.0113m    -15.1975m    699.9993m
2.35000n     10.5882u    700.0046m    -15.1932m    699.9995m
2.36000n     -4.1556u    699.9979m    -15.1888m    699.9996m
2.37000n    -18.8994u    699.9911m    -15.1844m    699.9997m
2.38000n    -26.2891u    699.9878m    -15.1809m    699.9997m
2.39000n    -20.5144u    699.9904m    -15.1791m    699.9998m
